DATE,PRICE,SPACE,CATEGORIES
2019-08-14,2055.00,112,APARTMENT
2020-12-04,900.00,49,"APARTMENT, FLAT"
2019-08-13,1520.00,82,APARTMENT
2020-01-09,1630.00,93,"APARTMENT, FLAT"
2018-12-08,1850.00,111,APARTMENT
2020-03-03,8125.00,,OFFICE
2020-07-30,2735.00,149,"APARTMENT, DUPLEX"
2019-11-12,2035.00,119,APARTMENT
2020-07-03,1240.00,69,"APARTMENT, FLAT"
2021-01-07,2750.00,150,"APARTMENT, DUPLEX"
2020-05-15,1730.00,109,"APARTMENT, FLAT"
2018-08-30,1705.00,95,APARTMENT
2019-06-29,1850.00,106,APARTMENT
2018-08-03,2735.00,149,DUPLEX
2020-06-12,1520.00,73,"APARTMENT, FLAT"
2019-08-24,3540.00,179,APARTMENT
2020-12-21,1505.00,75,"APARTMENT, FLAT"
